name,nation,remarks,website,available_number,language_condition,one_year_available,course_restriction,not_major_course,keyword,satisfaction,went_number,went_major,image_url
University of Sheffield,영국,,https://www.sheffield.ac.uk/studyabroad/overseas,13,"TOEFL IBT 80 이상 (Reading 18, Listening 17, Speaking 20, Writing 17), 또는 IELTS 6.0 이상 (영역 별 5.5 이상)
https://www.sheffield.ac.uk/undergraduate/apply/english-language",Yes ( With taking 1 exchange spot),"Education, Law, Medicine/Dentistry/Health, Corporate Information and Computing Services, 석사 과목 수강 제한
Please see details in open and closed departments here: https://www.sheffield.ac.uk/studyabroad/overseas/prospective/choosing",Yes,"['그렇다', '적다', '유학생', '중국인', '깨다', '꿈꾸다', '생생하다', '믿다', '기숙사', '굉장하다']",4.08,12,"['영어영문학과', '사회학과', '글로벌경영학과', '신소재공학부', '신문방송학과', '건축학과', '글로벌리더학부', '경제학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcTBjVotjjyVr-vOPtBaqBLozPYSWUeIdoEaF9yQKE8NzNdulCqpS8YSHCw
University of Leicester,영국,,https://www2.le.ac.uk/offices/international/overseas-exchange/incoming/study-abroad,7,"★학과/과목마다 기준 상이함★ IELTS 각 세부영역 최소 5.5 이상 (or equivalent)
Science (*Chemistry, Computer Science, Engineering, Geology, Physics. Also the ELTU) : IELTS 6.0 
Law : IELTS 7.0
그 외 모든 수업: IELTS 6.5
You can check the requirements for each field here: https://www2.le.ac.uk/offices/international/overseas-exchange/incoming/study-abroad/how-to-apply
You can see a list of accepted English tests here: https://le.ac.uk/study/international-students/english-language-requirements/equivalent ",Yes ( With taking 1 exchange spot),School of Medicine; Engineering for yearlong students only (1년 파견 학생의 경우 공대 수업 수강 가능),Yes,"['메일', '런던', '이상', '당일치기', '멀다', '중부지방', '줄다', '갈다', '모두', '그리다']",3.82,11,"['심리학과', '신문방송학과', '글로벌리더학부', '물리학과', '신소재공학부', '생명과학과', '사학과', '수학과', '행정학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcT19PJIW6_ABd1kdPivhHVRdSZaSORYWqNxecis28z2r_WwS4wVM-dsr4I
UWE Bristol,영국,경영/글로벌경영전공만 지원가능,https://www1.uwe.ac.uk/study/studyabroad/comingtouwetostudy/uwebristolexchange/aboutuwebristolexchanges.aspx,경영학과 2 ,"토플 80, IELTS 6.0, TOEIC 880 중 한 가지 제출",Yes ( With taking 1 exchange spot),Students can only take subjects in the department our university's have an agreement in.,No,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcT-B079yi79hFSp7z7AZ0A4pJmDmcK2smP_B96fBx0D5laDpJ4E5edrB9c
Northumbria University,영국,,https://www.northumbria.ac.uk/international/incoming-students/,4,"IELTS 6.0 (각 세부영역 5.5 이상), 또는 TOEFL IBT 79 (Reading 18, Listening 17, Speaking 20, Writing 17) 
 ",Yes ( With taking 1 exchange spot),the modules students can study are listed within our Constructing Your Programme page.,No,"['선택', '넓다', '나오다', '학교', '의상', '이다', '값지다', '기간', '같다', '되다']",4.5,2,"['의상학과', '전자전기공학부']",http://t1.gstatic.com/images?q=tbn:ANd9GcSG-O57wDaN8UT2ER1o9zaA6RFnxazcZe3qLI7dsEk3A7IITyIOU3g6__4
University of Reading,영국,,https://studyabroad.reading.ac.uk/incoming/,2,"IELTS 6.5 (각 세부영역 6.0 이상), 또는 토플 IBT 88 (Reading 18, Listening 17, Speaking 20, Writing 17)
https://studyabroad.reading.ac.uk/incoming/apply/exchange-students/",Yes ( With taking 1 exchange spot),Not open to exchange: Architecture,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcSnx05YK-yMNy5d2RUb4TXur7gkbM0hHT84CiLpX9Eql9r1srnG2WqzvW1b
"Aston University, Aston Business School",영국,글로벌경영/경영전공만 지원가능 https://www2.aston.ac.uk/aston-business-school/international/incoming,www.aston.ac.uk/international/international-students/student-exchanges/incoming-exchange-students/,2,IBT 90(영역별 20 이상) 또는 IELTS 6.5(영역별 6.0 이상),No,Yes,No,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQJhzTmGByMZMjRnGo71889gEhfSd7pvBzySA6jl_1u6mNO6s9h7AyzGAAP
MCI Management Center Innsbruck,오스트리아,,https://www.mci4me.at/en/international/study-internationally/exchange-students,5,"토플 IBT 85, 또는 IELTS 6.0 이상
영어 성적이 없는 경우 : required to take an online English test during the application process. This test will be provided by MCI and is free of charge.
https://www.mci4me.at/en/international/study-internationally/exchange-students",Yes ( With taking 1 exchange spot),please see list of our courses here: www.mic.edu/courses-in-english,Yes,"['생각', '달다', '정말', '기숙사', '나다', '계약', '개월', '일상', '버티다', '통해']",0.0,2,"['정치외교학과', '사회복지학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcThgE_9DyrZikr_HdFLq0O8FaT-jIa5q7ia5hWMaYULT9p0fyzz-moQiQ
Fachhochschule Vorarlberg ,오스트리아,,https://www.fhv.at/en/studies/international/exchange-students-incomings/,2,"토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출",No,They can take courses from International (Business Bachelor),No,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcT47QYbXO6CyMkjLROWAtPGRf3HAwOzVoPm9_qJkLF3UE8boyDeS5Qvg7g
University of Applied Sciences Wr. Neustadt Austria,오스트리아,,https://www.fhwn.ac.at/en/international/undefined,2,"IELTS 7.0 (세부영역 6.5 이상), TOEFL IBT 100, Confirmation by home university or by Erasmus+ OLS stating level B2 중 한 가지 제출",Yes ( With taking 1 exchange spot),German taught programmes,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcS1cOyvopwdUTeokfSttSyA76XqS1QZfJEWUdgz4SY6veVN6mXQ7v0-HEIj
FH Kufstein Tirol University of Applied Sciences,오스트리아,,https://www.fh-kufstein.ac.at/Studieren/International/Incoming-Students,3,No language requirements. Intermedia Level of German or English to follow the courses is advisable.,Yes ( With taking 1 exchange spot),we provide some courses form the regular bachelor program but not all courses re available,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcSuLlYcSOTEwu7ZAO8BnaCrp8mlA6ucaGE-lVbNI1TF9GZlVRhAG-IBM8S8
University of Applied Sciences Upper Austria,오스트리아,"Hagenberg (Informatics, Communications and Media), Wels (Engineering), Steyr (Management)",https://www.fh-ooe.at/en/international/incomings/,"6명 (Steyr Campus 2명, Hagenberg Campus 2명, Wels Campus 2명)","토플 80, IELTS 6.0, TOEIC 880 중 한 가지 제출",Yes ( With taking 1 exchange spot),Courses are to be taken out of our course offer: https://www.fh-ooe.at/en/international/incomings/course-catalogue/ ,Yes,"['여름', '인정', '오스트리아', '같다', '아름답다', '각지', '여성', '세계', '학도', '받다']",5.0,2,['프랑스어문학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcT7VZJtQDiupzeHJBkAfEaSrzp4JtyiDgIcmr2d95DLn0vXvrDTohw-Gpg
FHWien der WKW University of Applied Sciences for Management & Communication,오스트리아,,https://www.fh-wien.ac.at/en/study/international/incoming-students/,3,"토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출",Yes ( With taking 1 exchange spot),Journalism Courses are only offered to Journalism students,Yes,"['정말', '교환학생', '자다', '같다', '도시', '경우', '살기', '매우', '대중교통', '되어다']",4.0,2,"['글로벌경영학과', '경제학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcTHKyC0JxLC8e62lZnbUg83zvxIpUZ-VbVA4GLW50nurKXl1D9zt5cHgw
Universidad RRT Uruguay,우루과이,,https://internacionales.ort.edu.uy/study-in-uruguay/exchange-programs,3,"Spanish proficiency (intermediate level, B1) is required",Yes ( With taking 1 exchange spot),no,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRv9j-O3tH24oZGwLDzbLakeAERzEauhJhqY_QN-LKlkqhmAro7G28pozg
University of Verona,이탈리아,글로벌경영/경영전공만 지원가능,https://www.univr.it/en/international,2,ITALIAN B1 https://docs.univr.it/documenti/Documento/allegati/allegati502467.pdf,Yes ( With taking 1 exchange spot),"If you select some students of Medicine school, please have a look to the web site of the school to check the list of the courses, if they are compatible with yours.",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRC1olghBvhtJk_77Fd8EDzTRclxyQFvX2F-zKm8uuIn5eyL04hDVFF9go
Ca' Foscari University of Venice,이탈리아,,https://www.unive.it/pag/12574/,5,"영어수업수강 : 토플 IBT 72 이상, 토익 785 이상, IELTS 5.5 이상 중 한 가지 제출
English or Italian B2 이상 - Recognized Certifications 확인 -> (https://www.unive.it/pag/16406/)",Yes ( With taking 1 exchange spot),"Yes, please check: https://www.unive.it/data/9639/",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcStaQQrhBvbQv4qE8rxDoyhuaNxQ7PvaZBLCaUtDQlziGcxG0Jy9RofiJI
Università Cattolica del Sacro Cuore,이탈리아,,https://international.unicatt.it/ucscinternational-semester-programs-exchange-program-in-milan,1,"TOEFL IBT 79-80, IELTS 6 / ITALIAN: B2 ",Yes ( With taking 1 exchange spot),No,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcSRSICvhhaPM7D-Nhs3-V0AxCt6M7yw2ubaDaCHq9fct5VOK__B5-u3ErQ_
Universitas Pelita Harapan,인도네시아,,https://international.uph.edu/incoming-student-exchange-program/student-exchange-program.html,3,"No, we only accept TOEFL IBT, PBT and IELTS",Yes ( With taking 1 exchange spot),"exchange students can ONLY take courses from the following department: Business School (Management, Accounting), Law, International Relations, Communication, Food Technology, Hospitality Management, and International Teachers College.",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcTXhzfXOMGRWWsZ1FT7sQFd-s52FUmN0Bdpxixbf3yANOG2PJc4mYYu0p6V
BINUS UNIVERSITY,인도네시아,,https://io.binus.ac.id/international-students/post/student-exchange-program-2/,10,"IELTS 6.0, 토플 IBT 79, 토익 880 , Home University’s Official Statement confirming that the medium instruction is fully in English",Yes ( Without taking 1 exchange spot),"As long as the courses are offered to exchange students and possible for them to take it (meet the prerequisite, if any), they may take it.",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQADAofN4Dkoqmnf-daYKmaYOBxeeWq_PtbsB7-WQHHOcbBlMpbLgIhRhs
Institut Teknologi Bandung ,인도네시아,경영/글로벌경영전공만 지원가능,https://www.international.tum.de/en/exchangestudents/,2,Any certificates or statement from home university which is equivalent to IELTS 5.5 ,Yes ( With taking 1 exchange spot),no,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcS1LfTJ9w5W4V3bBGLRn_o1DV7HqH640pBFk3OwX27iteg13keg4rv1Imgi
Chuo University,일본,,http://global.chuo-u.ac.jp/english/admissions/exchange/,2,JLPT N3,Yes ( With taking 1 exchange spot),"Faculty of Global Management, Global Informatics, Professonal graduate schools",Yes,"['친구', '사귀다', '관련', '연구', '되어다', '개인', '공부', '대학원', '많다', '하다']",5.0,1,['한문학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcTWsZXoVnjPvk8AjB4hVTQ_l9Mvg4YG7r9iCgIaPUbC8y41TDoJjdF5Dg
Toyo University,일본,,https://www.toyo.ac.jp/en/international-exchange/prospective/Study-Abroad-Program-at-Toyo/apply/,2,일본어수업수강 : JLPT N2 이상,Yes ( With taking 1 exchange spot),Exchange students take courses offered at Hakusan campus from the course list. ,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcTmJ5znulpuchV4J5g1FNv5dxt1KzcpuqZerg-Iyo4XRt8ygjVgkojv7XH4
Tohoku University,일본,,https://www.tohoku.ac.jp/en/academics/exchange_programs.html,1,"토플 IBT 79, IELTS 6.0, 토익 730
https://www.insc.tohoku.ac.jp/english/exchange/",Yes ( With taking 1 exchange spot),N/A,Yes,"['경제', '있다', '일본어', '하다', '지원', '부담', '향상', '즐겁다', '생활', '장학금']",5.0,2,[],http://t1.gstatic.com/images?q=tbn:ANd9GcT9lVfigNlfVfkQhqUpgnSFHYjZGOiF4tO7knyO5SzUN-B7hFWlaWHjph4B
Ritsumeikan University,일본,,http://en.ritsumei.ac.jp/admissions/skp/,2,"토플 IBT 68, IELTS 6.0 ",Yes ( With taking 1 exchange spot),SKP students may only take courses provided on the Course List for their track of study. Please see our course lists from previous semesters to get an idea of the kinds of course offerings (http://en.ritsumei.ac.jp/admissions/skp/course_lists/).,Yes,"['길다', '드리다', '떠나다', '솔직하다', '행복하다', '지내다', '비일', '본인', '바라보다', '들다']",3.33,3,"['행정학과', '프랑스어문학과', '국어국문학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcQKOFCO0iHV3T9LAFj3WDtQboXIURWo2n_ydG5_4M0gG5errbrlVkl3rmE
Hitotsubashi University,일본,2 spots in total for the academic year 2020-21 (equivalent to 4 semester students or 2 yearlong students),http://international.hit-u.ac.jp/en/pros/exchange/index.html,2,"영어수업수강 : 토플 IBT 79, IELTS 6.0 (토익 가능_HU can accept other language certificates besides TOEFL and IELTS, but a supporting letter signed by our partner university is required to proof their language proficiency)
일본어수업수강 : JLPT N2

http://international.hit-u.ac.jp/en/pros/exchange/index.html#Requirements",Yes ( With taking 1 exchange spot),"There is no specific restricted fields for exchange students. However, there are some courses are not open to undergraduate exchange students. More information on courses and restrictions can be found on this website: 
http://international.hit-u.ac.jp/en/pros/exchange/reg.html",Yes,"['혹시', '출국', '연결', '선택', '시기', '성균관대', '다른', '매우', '여행', '옳다']",4.17,6,"['글로벌리더학부', '경영학과', '경제학과', '영어영문학과', '행정학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcQB_m7rBaPyjZ7_kbQJfF84GrksWZC0fwt4_wTn95IonG4DNtysP8tREYQ
Chiba University,일본,,"For J-PAC: https://cie.chiba-u.ac.jp/programs-e.html
For faculty direct acceptance: http://www.chiba-u.ac.jp/e/education/index.html",2,"It depends on the programs, faculties or graduate schools.",Yes ( With taking 1 exchange spot),"School of Medicine, Faculty of Pharmaceutical Sciences and School of Nursing are not open to the undergraduate exchange program called J-PAC students.",No,"['대해', '의미', '시작', '굉장하다', '오사카', '학우', '여러', '대감', '지내다', '여행']",4.5,2,"['컴퓨터공학과', '신문방송학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcSKWxYiTmNMdDCUYgyS__hnj8wTV3evJ8PJcAW3pnjWgUzBihFagH6uZO8
Nagoya University,일본,,http://en.nagoya-u.ac.jp/admissions/academic_exchange_students/academic_exchange_students.html,3,"영어수업수강 : TOEFL IBT 79, IELTS 6.0, TOEIC 780 중 한 가지 제출
일본어수업수강 : JLPT N1",Yes ( With taking 1 exchange spot),"1) Chemistry and Physics Laboratory, Seminars and Graduation Research are not open to 
undergraduate students.
2) School of Medicine.",Yes,"['만족스럽다', '정말', '않다', '학기', '하다', '이다', '학년', '시기', '빠르다']",5.0,2,"['경영학과', '글로벌경영학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcRlU856YoEzng2p9TBVRiP2nA4tqaL5dRqfYcsN0ZUk9IGuxEb-AKud3zYh
Nishogakusha University,일본,,No,1,★일본어수업수강만 가능★ JLPT N2 이상,Yes ( With taking 1 exchange spot),We provide a variety of Japanese language subjects offered exclusively for exchange students.  The courses are designed for students from intermediate to advanced Japanese level. Please consult us individually for courses that students cannot take.,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcTmBs-gO8w-g1OPbAgRFpcYJOwuRgm4_2v_4RO_bpMuM3JxS6OzcJO0u4HG
Daito Bunka University,일본,,http://www.daito.ac.jp/english/admissions/exchange.html,2,No requirements,Yes ( With taking 1 exchange spot),Health Science and Nursing Science ,Yes,"['교양', '별로', '전공', '가다', '간의', '짧다', '학기', '즐겁다', '매우', '생각']",4.67,3,"['경영학과', '국어국문학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcQfbo9h_W1MIM2vqs2Oy6WGhV77PEEoM4PMfcWnUYN7fK0SJrd8KJFIQJ4
Hokkaido University,일본,"HUSTEP students are allowed to take courses outside of their applied major. JLCSP students must take courses related to Japanese Language or Culture. SAS/SRS basically require students to take courses that is provided by the School/Graduate School the student is enrolled. / 
",No,"HUSTEP(일반교환) 1,  JLCSP(일본어문화) 1,  SAS/SRS(대학원) 5","HUSTEP: TOEFL iBL 79 또는 IELTS 6.5 / JLCSP: JLPT level N3 / SAS JLPT N2, SRS: Fluent in English or Japanese",Yes ( With taking 1 exchange spot),"School of Medicine and Veterinary Medicine, because of its specificity, poses conditions and some limitations. High Japanese fluency required for School of Law.  You must select courses from the School/Graduate School you choose to be enrolled. ",No,"['처음', '모습', '적응하다', '되어다', '낯선', '다른', '시간', '비슷하다', '한국', '도움']",4.0,2,"['정치외교학과', '수학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcRfvVPMx7eFgXl2DoEfFP7VnqPfQjyYCKT7AzrA6PfDPh_qa06L4QiOnxk
Kobe University,일본,공과대학만 지원가능,"https://www.kobe-u.ac.jp/en/study_in_kobe/admission/exchange_program.html
http://web.cla.kobe-u.ac.jp/group/Kouryu/for-incoming-students.html",1~2,There is no language requirement,Yes ( With taking 1 exchange spot),N/A,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRdi-31yLM3ylyfYbrvukoOMbeetcuPCMYdCj6YwlJo1HRo2FlLsqmcYb0C
SOKA University,일본,,https://www.soka.ac.jp/en/about/,2,TOEFL IBT 71,Yes ( With taking 1 exchange spot),No,Yes,"['만족스럽다', '이다', '정말', '시설', '굉장하다', '교환', '대학', '유학', '제도', '유학생']",5.0,1,['러시아어문학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcTTb2SOjqPKFUXlCAE_IBuX6M8QdcPkZA0Rlp7e8wp6gjPs5u3NPjYvjbE
Kyushu University,일본,,http://www.kyushu-u.ac.jp/en/,2,JLPT N1 or Level 1 (for those who wish to study in Japanese) /TOEFL iBT 79 or IELTS 6.0 (for those who wish to study in English) *TOEIC is not acceptable / ,No,"Practical courses such as Medicine, Pharmacy, Dental Sciences are not open toexchange students.Courses offered by Kyushu University Business School (QBS) are open only to exchangestudents who are enrolled in QBS.",,"['경험', '의미', '만큼', '준비', '소중하다', '깊다', '인생', '이다', '교환학생', '하다']",5.0,1,['경제학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcQa8innmnuUD6FCKq4-7yGM5GsbzBrn-aYCZNsYpWgeDSY9kVE73ocEn6U
Waseda University,일본,,https://www.waseda.jp/inst/cie/en/exchange/application,4,"★학과마다 기준 상이 - 링크 필수 체크★
https://www.waseda.jp/inst/cie/en/exchange/application",No,Yes,Yes,"['늦어지다', '아쉽다', '성적표', '변환', '늦다', '성적', '느끼다', '보기', '정말', '가다']",2.5,4,"['글로벌경제학과', '경영학과', '행정학과', '심리학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcSL464LwA4uCZWkUxoX_56gXfVyFFocSaaGQlBBg7YR3jAa0yXNn-o_5HA
Beihang University,중국,,http://global.buaa.edu.cn/Study_with_Us/Exchange_Programs.htm,2,"영어수업수강 : 토플 80, IELTS 6.0, TOEIC 880 중 한 가지 제출
중국어수업수강: HSK 5급",Yes ( With taking 1 exchange spot),Students of Engineering and Science Major or Business Major cannot choose Chinese major.,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRp-tFVpzpw-Ak5EaIhnFWvEagxMDRv99U02nVX6HThtwAxduB-RAsoYaKp
Beijing Normal University,중국,,"http://iso.bnu.edu.cn
http://oiec.bnu.edu.cn/study-abroad/",2,"영어수업수강 : 토플 IBT 80, 또는 IELTS 6.0
중국어수업수강 : 신HSK 5급 180점 이상 (New HSK : 180 points or above / Level 5 or above",Yes ( With taking 1 exchange spot),No,Yes,"['본과', '실력', '인정', '않다', '안되다', '학과', '자체', '외국', '유명하다', '차다']",4.0,3,['중어중문학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcSsuPrhlcQDX7f0qdctrDXps2S2Ak5yaR_Am7QQx5-hszeSUftsUsdunA
Chongqing University,중국,,http://study.cqu.edu.cn/HOME/ADMISSION/Non_degree_Programs/Visiting_Student_ProgramssExchange_Student_Program.htm,4,"영어수업수강 (석사 이상) : IELTS 6.0
중국어수업수강 (학사, 석사) : HSK 4급 이상, 경영경제 과목 HSK 5급 이상 ",Yes ( With taking 1 exchange spot),Subject to agreement,Subject to agreement,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQugW1B35pLFe3FHyTfqqXfqOvpyemJr4bWZ2-rT2TCOswNVL9DQxH-Ng0
Shandong University,중국,글로벌경영/경영전공만 지원가능,http://www.istudy.sdu.edu.cn/English/Programs/Non_Degree_Programs/Exchange_Student_Programs.htm ,4,"영어과목수강: No proof of English proficienct required (토플 IBT 80, IELTS 6.0 실력 권장)
중국어과목수강: HSK 4급 이상",Yes ( With taking 1 exchange spot),Medicine and Dentistry,Yes,"['배우다', '지방', '선생님', '내용', '넓다', '발전', '미흡하다', '충분하다', '전반', '벌레']",4.17,6,"['경제학과', '경영학과', '한문교육과', '중어중문학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcQ5VnwAzuqMJl3dLoTQZsB-ciQivnczoqzr24Zsppza8nGBwZyc0srUsDE
Shandong University (위해 캠퍼스),중국,,No,2,"No language requirements, Please offer HSK certificate if you have it",Yes ( With taking 1 exchange spot),Except Physical Education course,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQxXakNG55ubq5w1f1nkWGCkLDbu6t7uJVDW-kC5VGTW4jTiODVt5sAyxqk
Lanzhou University,중국,,,4,No language requirement,Yes ( With taking 1 exchange spot),No,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcSyZTemUtZ4Ugdofted0KUyLV8UBndtsHIWJrBvEZ1BBGhdSRX44MsGKzI
Fudan University,중국,글로벌경영/경영전공만 지원가능,http://www.fdsm.fudan.edu.cn/en,1,IBT 80 또는 IELTS 6.0,No,Yes,No,"['관심', '복단대', '평소', '많다', '중국', '상하이', '전공', '수준', '이다', '국제']",4.5,2,['경영학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcRwFIt70kcJcVkmk78UH8qm8znQiBO_s9yLpnaoBkK5CG6r7WZZLNGLeVw
"Renmin University of China, Renmin Business School",중국,"글로벌경영/경영전공만 지원가능, Chinese passport holders are not accepted.",http://international/rmbs.ruc.edu.cn/incoming,2,"IBT 80 또는 IELTS 6.0, TOEIC 880 이상",No,"Incoming exchange students have access to courses taught in English at other schools in Renmin University of China, including the School of International Studies, School of Economics, School of Finance, School of Labor Relations and Human Resources, and Hanqing Advanced Institute of Economics and Finance.",첨부파일 참조,"['경험', '많다', '중국', '다양하다', '문화', '영어', '가능', '쓰다', '중국어', '싶다']",4.0,2,['경영학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcS2s5PxjZW3RGa3Oq9mpfCbx4uAfxZStpUC5cvI8pLPxB_mGbO26M_CH3w
Shanghai Jiao Tong University,중국,글로벌경영/경영전공만 지원가능,http://www.acem.sjtu.edu.cn/en/,1,IBT 80 또는 IELTS 6.0,No,,,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQ4X2RIuKO3Y1UGVSFKY72GHcsPyDc91XUgGuu-NSxI8XHb2NBVSqn0pYk
Zhejiang University,중국,글로벌경영/경영전공만 지원가능,http://www.cma.zju.edu.cn/en/,1,"IBT 80 또는 IELTS 6.0
중국어수업수강 : 구HSK 5급, 신HSK 4급 210점 이상",No,첨부파일 참조,Yes but if the students would like to take courses provided by other schools/ faculties they need to be approved by other schools/ faculties. Our academic  coordinator will offer help.,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQi1EH3ZJN6G55IcOoU1_lJg3ShlWAEbpAHESBywXsf-b8ooE08UCHlzw
Masaryk University,체코,,https://czs.muni.cz/en/student-from-abroad/exchange-non-degree-studies/partner-universities,3,"토플 80, IELTS 6.0, TOEIC 880 중 한 가지 제출",Yes ( With taking 1 exchange spot),"Some courses may have a prerequisites, medicine students should consult the course list before application deadline",Yes,"['다양하다', '공대', '어렵다', '학생', '대학', '크나크다', '담당자', '이자', '늘다', '떨어지다']",4.89,9,"['정치외교학과', '경영학과', '화학과', '영어영문학과', '경제학과', '글로벌경영학과', '독어독문학과', '심리학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcTpITxEIffRvGeu5ebzlpSLILiYmFdW1EH9eUjgqJbz8wysYMRUzrvHnqEf
Charles University,체코,,https://cuni.cz/UKEN-142.html,2,"IELTS 5.5, TOEFL IBT 72",Yes ( With taking 1 exchange spot),http://www.cuni.cz/UKEN-179.html,Yes,"['즐기다', '교환', '여유롭다', '들이다', '학기', '드리다', '추천', '도시', '다니다', '여행']",4.0,1,['경영학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcRumdpdJjxdq5FCxJutYAA7Lca8kKT5NRh5o6QMkLJsf6U6Qt4ITQSmgOO7
Universidad Mayor,칠레,,No,"6 (3 in Santiago,  3 in Temuco)","★스페인어 수업만 수강가능★ Certificate of Spanish proficiency equivalent to level B.2 (620 to 675 clasrooms hours) according to CEFR, acredited. Students selected to study at Universidad Mayor have to be able to follow university lectures in Spanish, participate in seminar discussions and understand written material in their field. Mandatory.",Yes ( With taking 1 exchange spot),NO,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQXXJlEcaL_xUHMjPPJo5vdNF3IIi6dyS6ER_UeaJzDG2vwJGUgueEezA
École des sciences de la gestion Université du Québec à Montréal,캐나다,글로벌경영/경영전공만 지원가능,https://international.esg.uqam.ca/en/international-students/,5,"영어수업수강 : 토익 750 이상, 토플 80 이상, IELTS 6.0 이상, a certificate attesting to the student's English language skills (oral and written) must be provided by a competent authority 중 한 가지 제출
프랑스수업수강: B2, a certificate attesting to the student’s French language skills (oral and written) must be provided by a competent authority",Yes ( With taking 1 exchange spot),no,No,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcTO0hAZ70bUlS5vkI5hFkQwy61LmlYaMfqiZkHEyTid70mntlKHZADjjTihWQ
"Asper School of Business, University of Manitoba",캐나다,글로벌경영/경영전공만 지원가능,www.umanitoba.ca/asper/exchange,2,"토플 IBT 86 (각 세부영역 20 이상), 또는 IELTS 6.5
http://umanitoba.ca/student/admissions/international/english/index.html",Yes ( With taking 1 exchange spot),"While students may possibly take courses outside the business school, it is far less flexible",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRNo9nVMDIFt4_JXwn7Wsxdu97wYkk91r-QpJ36baFyIVQGmgylThmV1Db_
Nipissing University,캐나다,,https://www.nipissingu.ca/departments/academic-advising/academic-services/international-exchanges/incoming,3,We let the home university determine English proficiency but will often refer to IELTS and TOEFL,Yes ( With taking 1 exchange spot),"Bachelor of Nursing, Bachelor of Social Work and Bachelor of Education-approval is done on a case by case basis",Yes,"['들어서다', '아주', '춥다', '라이프', '기간', '동안', '걱정', '재미없다', '바로', '시설']",4.43,14,"['유학동양학과', '영어영문학과', '미디어커뮤니케이션학과', '경제학과', '심리학과', '융합생명공학과', '사회학과', '스포츠과학과', '경영학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcS_Ceart3ojPodWRheOb6OLuXPWr7JsA6OLODqhxg7qd5iOD6_uA0TuUeFW
